OWNER_ID,AGE,GENDER,CITY_ID,CITY_DISTRICT,BREED1,BREED1_MIX,BREED2,RACE_TYPE,DOGS_YEAR_OF_BIRTH,DOGS_COLOR,AGE_YEARS,BREED_REDUCED_Beagle,BREED_REDUCED_Berner Sennenhund,BREED_REDUCED_Bolonka Zwetna,BREED_REDUCED_Border Collie,BREED_REDUCED_Cairn Terrier,BREED_REDUCED_Chihuahua,BREED_REDUCED_Cocker Spaniel,BREED_REDUCED_Dachshund,BREED_REDUCED_Dackel,BREED_REDUCED_Deutscher Schäfer,BREED_REDUCED_Französische Bulldogge,BREED_REDUCED_Golden Retriever,BREED_REDUCED_Jack Russel Terrier,BREED_REDUCED_Labrador Retriever,BREED_REDUCED_Malteser,BREED_REDUCED_Mischling gross,BREED_REDUCED_Mischling klein,BREED_REDUCED_Mops,BREED_REDUCED_Other,BREED_REDUCED_Pekingese,BREED_REDUCED_Pinscher,BREED_REDUCED_Pudel,BREED_REDUCED_Schäfer,BREED_REDUCED_Shih Tzu,BREED_REDUCED_Terrier,BREED_REDUCED_West Highland White Terrier,BREED_REDUCED_Yorkshire Terrier,BREED_REDUCED_Zwergpinscher,BREED_REDUCED_Zwergpudel,BREED_REDUCED_Zwergspitz
88269,41-50,m,0.7918053761137348,0.7639520867614599,Mischling klein,,,K,2004,schwarz,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88271,41-50,w,0.48476084693185323,0.43071017705077913,Mischling klein,,,K,2010,beige,-0.035993748814635323,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88275,71-80,w,-0.43637274061379155,-0.4175419567582263,Deutscher Boxer,,,I,2004,dunkel gestromt,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88279,41-50,w,-0.43637274061379155,-0.478131394887441,Labrador Retriever,,Rottweiler,I,2003,schwarz,0.105127625530019,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88279,41-50,w,-0.43637274061379155,-0.478131394887441,Jack Russel Terrier,,,K,2001,schwarz/weiss,0.14544801819992023,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88280,61-70,m,-1.9715953865231994,-1.9322779099885932,Mischling klein,,,K,2004,schwarz,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
88292,61-70,w,0.7918053761137348,0.7336573676968525,Cavalier King Charles Spaniel,,,K,2011,ruby,-0.05615394514958594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88294,31-40,m,1.0988499052956164,1.1577834346013554,West Highland White Terrier,,,K,2004,weiss,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
88296,41-50,m,0.7918053761137348,0.7336573676968525,Tibetan Spaniel,,,K,2011,beige,-0.05615394514958594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88298,41-50,w,0.48476084693185323,0.4610048961153865,Chihuahua,,,K,2013,hellbraun,-0.09647433781948718,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
88299,61-70,m,1.0988499052956164,1.1577834346013554,Beauceron Berge de Beauce,,Appenzeller,I,2011,schwarz/braun,-0.05615394514958594,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88302,41-50,w,1.405894434477498,1.400141187118214,American Staffordshire Terrier,,Pit Bull Terrier,II,2004,schwarz,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88304,51-60,w,-0.12932821143190995,-0.14488948517676026,West Highland White Terrier,,,K,2004,weiss,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
88305,51-60,w,-1.664550857341318,-1.6293307193425197,Lhasa Apso,,,K,2004,sandfarbig,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88311,51-60,w,1.405894434477498,1.3698464680536067,Yorkshire Terrier,,,K,2005,steelblue/tan,0.06480723286011776,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
88320,51-60,w,-1.664550857341318,-1.6293307193425197,Bichon frisé,,,K,2004,weiss,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88331,41-50,w,1.0988499052956164,1.1577834346013554,Podenco,Mischling,,I,2004,hellbraun,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88337,41-50,w,-1.3575063281594362,-1.3263835286964465,Yorkshire Terrier,,,K,2004,schwarz/braun,0.08496742919506839,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
88339,61-70,w,0.48476084693185323,0.43071017705077913,Havaneser,,,K,2014,weiss,-0.1166345341544378,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
88340,41-50,w,0.48476084693185323,0.4610048961153865,Lhasa Apso,Mischling,,K,2007,weiss/beige,0.02448684019021653,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
